"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"261","IUU_40",2025,0.45,31475.0088645132,1045045.01389241,14677762.2973247,8.40541453418736,106.149667756862,20.3595346965441,6,29,149.423961890994,17708.6831982977
"262","IUU_40",2025,0.5,31314.1571445133,1048017.58859241,14629167.3017747,8.36245901379476,106.451604814685,20.2921285430763,6,29,149.798290046937,17788.9573282978
"263","IUU_40",2025,0.55,12066.0820845133,1221870.28739241,11380010.6779447,3.22225236410379,124.110563013546,15.7852210406002,7,46,182.750322858405,22347.5571473301
"264","IUU_40",2025,0.6,14167.0824045133,1210418.22179241,11752274.1475047,3.78332539515767,122.947327992652,16.3015879684216,7,45,180.361978962726,21951.0506073302
"265","IUU_40",2025,0.65,-42999.5387374868,1576034.46809241,1137584.99741466,-11.4830451493508,160.084525486857,1.57794497253532,30,65,256.625578454335,46264.6478841705
"266","IUU_40",2025,0.7,-53515.6846044867,1623073.45749241,-693717.89730534,-14.2913863858731,164.862475747421,-0.962256597000216,32,69,267.774231700902,55599.9564359699
"267","IUU_40",2025,0.75,-81684.5282074867,1754208.13089241,-5719805.16568533,-21.8138880776472,178.182382380885,-7.93394588148283,34,76,298.23206256324,81010.4946812033
"268","IUU_40",2025,0.8,-87190.5265364868,1779480.62819241,-6738209.61495534,-23.2842672784603,180.749417442647,-9.3465754295037,34,78,304.181103485487,85875.4376432033
"269","IUU_40",2025,0.85,-145469.944098487,1997483.90339241,-16637079.5572753,-38.8478105812839,202.892937506148,-23.0773050846621,40,93,359.314816568306,145469.944098487
"270","IUU_40",2025,0.9,-152013.163859487,2020199.67919241,-17801310.0820777,-40.5951802076512,205.200275488679,-24.6922100875051,42,95,365.378347507332,154648.96425659
"271","IUU_40",2030,0.05,4644.70087851328,73957.4848724093,1414294.10019167,1.24036934951351,7.51217635889091,1.96176836909386,5,12,11.3254630116763,950.932076849218
"272","IUU_40",2030,0.1,16728.6513645133,138940.177012409,4028292.05184467,4.46739347785113,14.1127448405445,5.58764681809116,4,9,19.0923154233673,1794.35750613778
"273","IUU_40",2030,0.15,26638.0440445133,204129.115262409,6182312.60728566,7.11370101714306,20.7342626169763,8.57549028817949,4,9,27.2495462909036,2601.31980613776
"274","IUU_40",2030,0.2,34697.9700245133,268808.865402409,7962236.85605367,9.26610768582388,27.3040599909531,11.0444245007616,4,9,35.6695739521541,3444.95698613775
"275","IUU_40",2030,0.25,50233.7047345132,517195.217492409,12085770.0360777,13.4149322625801,52.5337184259408,16.764180356622,4,11,71.389021642303,7020.77877613777
"276","IUU_40",2030,0.3,49099.5930945133,455113.116682409,11506052.8258707,13.1120672656779,46.2277753449971,15.9600541951331,4,10,61.6424718474793,6075.40882613778
"277","IUU_40",2030,0.35,51147.9340045133,574387.276582409,12585423.7983647,13.6590775788441,58.3429591667988,17.4572504516047,4,11,80.501394418533,7895.65530613775
"278","IUU_40",2030,0.4,50508.5135645132,509108.714392409,12072106.2859627,13.488320077775,51.7123379055145,16.7452273589568,4,11,70.0166930276879,6892.10328613778
"279","IUU_40",2030,0.45,30678.2166845133,940125.279982409,11604157.4740147,8.19263084286806,95.4925240476136,16.0961352235161,5,21,148.522056382591,13715.5697018492
"280","IUU_40",2030,0.5,31284.8033845132,938369.402102409,11678574.6888547,8.35462007967406,95.3141720617126,16.1993593960339,5,21,148.047203317078,13671.2450428492
"281","IUU_40",2030,0.55,21182.0825295133,1029182.17614241,10655431.0828747,5.65668416883798,104.538411844954,14.7801561603136,6,29,167.173723849823,14906.8755075423
"282","IUU_40",2030,0.6,7104.44789651327,1132747.79787241,9078556.31988467,1.89724583919201,115.058012619591,12.5928720362853,6,45,190.444595082215,17639.9621635423
"283","IUU_40",2030,0.65,-41403.8737854867,1397193.59274241,3177078.63204467,-11.0569221437317,141.918896975755,4.40692806794892,33,67,255.622923565072,40874.6093043361
